inst,actual,predicted,error,,
2230,0,0.494,0.494,,
2231,1,0.476,-0.524,,
2232,1,0.471,-0.529,,
2233,1,0.473,-0.527,,
2234,0,0.469,0.469,,
2235,1,0.478,-0.522,,
2236,0,0.465,0.465,,
2237,0,0.496,0.496,,
2238,0,0.464,0.464,,
2239,1,0.488,-0.512,,
2240,1,0.478,-0.522,,
2241,0,0.488,0.488,,
2242,0,0.471,0.471,,
2243,0,0.465,0.465,,
2244,1,0.482,-0.518,,
2245,0,0.474,0.474,,
2246,1,0.469,-0.531,,
2247,0,0.466,0.466,,
2248,0,0.465,0.465,,
2249,1,0.483,-0.517,,
2250,1,0.482,-0.518,,
2251,0,0.468,0.468,,
2252,1,0.486,-0.514,,
2253,0,0.481,0.481,,
2254,0,0.493,0.493,,
2255,1,0.478,-0.522,,
2256,1,0.474,-0.526,,
2257,0,0.467,0.467,,
2258,0,0.465,0.465,,
2259,0,0.464,0.464,,
2260,1,0.485,-0.515,,
2261,0,0.471,0.471,,
2262,0,0.492,0.492,,
2263,1,0.479,-0.521,,
2264,0,0.472,0.472,,
2265,0,0.494,0.494,,
2266,0,0.49,0.49,,
2267,0,0.472,0.472,,
2268,0,0.468,0.468,,
2269,0,0.484,0.484,,
2270,1,0.473,-0.527,,
2271,1,0.481,-0.519,,
2272,0,0.464,0.464,,
2273,0,0.467,0.467,,
2274,1,0.489,-0.511,,
2275,0,0.493,0.493,,
2276,1,0.482,-0.518,,
2277,0,0.491,0.491,,
2278,0,0.472,0.472,,
2279,0,0.493,0.493,,
2280,1,0.491,-0.509,,
2281,0,0.495,0.495,,
2282,0,0.474,0.474,,
2283,0,0.465,0.465,,
2284,0,0.495,0.495,,
2285,0,0.496,0.496,,
2286,0,0.474,0.474,,
2287,1,0.479,-0.521,,
2288,0,0.465,0.465,,
2289,0,0.473,0.473,,
2290,1,0.471,-0.529,,
2291,1,0.474,-0.526,,
2292,1,0.479,-0.521,,
2293,1,0.476,-0.524,,
2294,1,0.487,-0.513,,
2295,1,0.484,-0.516,,
2296,0,0.47,0.47,,
2297,1,0.475,-0.525,,
2298,0,0.467,0.467,,
2299,0,0.493,0.493,,
2300,1,0.474,-0.526,,
2301,1,0.474,-0.526,,
2302,1,0.48,-0.52,,
2303,1,0.483,-0.517,,
2304,0,0.487,0.487,,
2305,0,0.465,0.465,,
2306,0,0.475,0.475,,
2307,0,0.493,0.493,,
2308,1,0.483,-0.517,,
2309,0,0.465,0.465,,
2310,0,0.495,0.495,,
2311,0,0.494,0.494,,
2312,0,0.463,0.463,,
2313,1,0.47,-0.53,,
2314,1,0.474,-0.526,,
2315,0,0.489,0.489,,
2316,1,0.481,-0.519,,
2317,1,0.479,-0.521,,
2318,1,0.492,-0.508,,
2319,0,0.487,0.487,,
2320,1,0.49,-0.51,,
2321,0,0.478,0.478,,
2322,1,0.49,-0.51,,
2323,0,0.467,0.467,,
2324,0,0.472,0.472,,
2325,1,0.49,-0.51,,
2326,1,0.481,-0.519,,
2327,0,0.464,0.464,,
2328,0,0.491,0.491,,
2329,1,0.474,-0.526,,
2330,0,0.47,0.47,,
2331,1,0.49,-0.51,,
2332,1,0.468,-0.532,,
2333,0,0.493,0.493,,
2334,1,0.488,-0.512,,
2335,1,0.478,-0.522,,
2336,1,0.491,-0.509,,
2337,0,0.486,0.486,,
2338,1,0.489,-0.511,,
2339,1,0.475,-0.525,,
2340,1,0.482,-0.518,,
2341,1,0.485,-0.515,,
2342,1,0.475,-0.525,,
2343,0,0.489,0.489,,
2344,0,0.495,0.495,,
2345,1,0.473,-0.527,,
2346,0,0.493,0.493,,
2347,1,0.476,-0.524,,
2348,1,0.476,-0.524,,
2349,1,0.47,-0.53,,
2350,0,0.478,0.478,,
2351,0,0.47,0.47,,
2352,1,0.473,-0.527,,
2353,1,0.493,-0.507,,
2354,0,0.463,0.463,,
2355,0,0.466,0.466,,
2356,1,0.471,-0.529,,
2357,1,0.476,-0.524,,
2358,1,0.474,-0.526,,
2359,0,0.467,0.467,,
2360,1,0.487,-0.513,,
2361,0,0.486,0.486,,
2362,1,0.493,-0.507,,
2363,0,0.479,0.479,,
2364,1,0.487,-0.513,,
2365,1,0.477,-0.523,,
2366,1,0.472,-0.528,,
2367,1,0.475,-0.525,,
2368,1,0.469,-0.531,,
2369,1,0.484,-0.516,,
2370,1,0.48,-0.52,,
2371,0,0.494,0.494,,
2372,1,0.472,-0.528,,
2373,1,0.472,-0.528,,
2374,1,0.479,-0.521,,
2375,0,0.495,0.495,,
2376,0,0.471,0.471,,
2377,0,0.487,0.487,,
2378,0,0.494,0.494,,
2379,1,0.484,-0.516,,
2380,0,0.481,0.481,,
2381,0,0.487,0.487,,
2382,0,0.486,0.486,,
2383,1,0.491,-0.509,,
2384,0,0.465,0.465,,
2385,0,0.469,0.469,,
2386,1,0.49,-0.51,,
2387,0,0.475,0.475,,
2388,0,0.493,0.493,,
2389,0,0.493,0.493,,
2390,0,0.496,0.496,,
2391,0,0.49,0.49,,
2392,0,0.467,0.467,,
2393,0,0.478,0.478,,
2394,0,0.47,0.47,,
2395,1,0.47,-0.53,,
2396,0,0.482,0.482,,
2397,0,0.494,0.494,,
2398,0,0.464,0.464,,
2399,0,0.494,0.494,,
2400,1,0.488,-0.512,,
2401,0,0.464,0.464,,
2402,0,0.496,0.496,,
2403,0,0.493,0.493,,
2404,1,0.486,-0.514,,
2405,1,0.482,-0.518,,
2406,0,0.47,0.47,,
2407,1,0.484,-0.516,,
2408,0,0.465,0.465,,
2409,1,0.48,-0.52,,
2410,0,0.494,0.494,,
2411,1,0.481,-0.519,,
2412,0,0.481,0.481,,
2413,1,0.486,-0.514,,
2414,0,0.495,0.495,,
2415,0,0.481,0.481,,
2416,1,0.475,-0.525,,
2417,0,0.465,0.465,,
2418,1,0.485,-0.515,,
2419,0,0.463,0.463,,
2420,0,0.475,0.475,,
2421,0,0.488,0.488,,
2422,0,0.482,0.482,,
2423,1,0.477,-0.523,,
2424,1,0.479,-0.521,,
2425,0,0.471,0.471,,
2426,1,0.476,-0.524,,
2427,1,0.473,-0.527,,
2428,1,0.492,-0.508,,
2429,0,0.478,0.478,,
2430,0,0.472,0.472,,
2431,1,0.483,-0.517,,
2432,0,0.475,0.475,,
2433,0,0.472,0.472,,
2434,0,0.487,0.487,,
2435,1,0.469,-0.531,,
2436,1,0.481,-0.519,,
2437,1,0.478,-0.522,,
2438,0,0.495,0.495,,
2439,0,0.493,0.493,,
2440,1,0.479,-0.521,,
2441,0,0.465,0.465,,
2442,0,0.496,0.496,,
2443,0,0.494,0.494,,
2444,1,0.479,-0.521,,
2445,1,0.484,-0.516,,
2446,1,0.474,-0.526,,
2447,1,0.476,-0.524,,
2448,0,0.467,0.467,,
2449,0,0.47,0.47,,
2450,1,0.481,-0.519,,
2451,0,0.466,0.466,,
2452,0,0.496,0.496,,
2453,0,0.466,0.466,,
2454,0,0.491,0.491,,
2455,1,0.488,-0.512,,
2456,1,0.472,-0.528,,
2457,0,0.477,0.477,,
2458,1,0.48,-0.52,,
2459,1,0.47,-0.53,,
2460,1,0.47,-0.53,,
2461,0,0.495,0.495,,
2462,0,0.495,0.495,,
2463,1,0.49,-0.51,,
2464,0,0.492,0.492,,
2465,1,0.483,-0.517,,
2466,1,0.472,-0.528,,
2467,0,0.493,0.493,,
2468,0,0.493,0.493,,
2469,1,0.47,-0.53,,
2470,1,0.485,-0.515,,
2471,1,0.47,-0.53,,
2472,1,0.477,-0.523,,
2473,0,0.468,0.468,,
2474,1,0.474,-0.526,,
2475,0,0.466,0.466,,
2476,0,0.473,0.473,,
2477,0,0.488,0.488,,
2478,1,0.486,-0.514,,
2479,0,0.478,0.478,,
2480,1,0.474,-0.526,,
2481,0,0.493,0.493,,
2482,0,0.488,0.488,,
2483,1,0.481,-0.519,,
2484,1,0.489,-0.511,,
2485,1,0.478,-0.522,,
2486,0,0.495,0.495,,
2487,0,0.495,0.495,,
2488,0,0.478,0.478,,
2489,1,0.473,-0.527,,
2490,1,0.486,-0.514,,
2491,1,0.486,-0.514,,
2492,1,0.485,-0.515,,
2493,0,0.495,0.495,,
2494,0,0.469,0.469,,
2495,1,0.489,-0.511,,
2496,1,0.48,-0.52,,
2497,1,0.467,-0.533,,
2498,0,0.465,0.465,,
2499,0,0.489,0.489,,
2500,0,0.493,0.493,,
2501,1,0.475,-0.525,,
2502,0,0.466,0.466,,
2503,0,0.467,0.467,,
2504,1,0.478,-0.522,,
2505,1,0.475,-0.525,,
2506,1,0.47,-0.53,,
2507,1,0.478,-0.522,,
2508,0,0.478,0.478,,
2509,0,0.492,0.492,,
2510,0,0.496,0.496,,
2511,1,0.491,-0.509,,
2512,1,0.481,-0.519,,
2513,1,0.482,-0.518,,
2514,1,0.485,-0.515,,
2515,0,0.49,0.49,,
2516,1,0.49,-0.51,,
2517,1,0.479,-0.521,,
2518,0,0.494,0.494,,
2519,1,0.489,-0.511,,
2520,1,0.473,-0.527,,
2521,0,0.47,0.47,,
2522,1,0.473,-0.527,,
2523,0,0.491,0.491,,
2524,1,0.487,-0.513,,
2525,0,0.473,0.473,,
2526,0,0.474,0.474,,
2527,1,0.467,-0.533,,
2528,1,0.467,-0.533,,
2529,0,0.495,0.495,,
2530,1,0.484,-0.516,,
2531,1,0.486,-0.514,,
2532,1,0.479,-0.521,,
2533,1,0.48,-0.52,,
2534,1,0.491,-0.509,,
2535,1,0.487,-0.513,,
2536,0,0.478,0.478,,
2537,0,0.472,0.472,,
2538,0,0.476,0.476,,
2539,0,0.495,0.495,,
2540,0,0.48,0.48,,
2541,0,0.488,0.488,,
2542,0,0.477,0.477,,
2543,1,0.486,-0.514,,
2544,1,0.481,-0.519,,
2545,0,0.485,0.485,,
2546,0,0.484,0.484,,
2547,0,0.496,0.496,,
2548,1,0.475,-0.525,,
2549,0,0.465,0.465,,
2550,0,0.465,0.465,,
2551,1,0.484,-0.516,,
2552,1,0.488,-0.512,,
2553,0,0.493,0.493,,
2554,0,0.468,0.468,,
2555,0,0.486,0.486,,
2556,1,0.489,-0.511,,
2557,1,0.485,-0.515,,
2558,1,0.492,-0.508,,
2559,1,0.483,-0.517,,
2560,0,0.481,0.481,,
2561,0,0.488,0.488,,
2562,0,0.494,0.494,,
2563,0,0.464,0.464,,
2564,1,0.484,-0.516,,
2565,0,0.493,0.493,,
2566,1,0.484,-0.516,,
2567,0,0.475,0.475,,
2568,1,0.472,-0.528,,
2569,1,0.483,-0.517,,
2570,0,0.473,0.473,,
2571,0,0.47,0.47,,
2572,1,0.473,-0.527,,
2573,1,0.469,-0.531,,
2574,0,0.469,0.469,,
2575,0,0.494,0.494,,
2576,0,0.466,0.466,,
2577,1,0.473,-0.527,,
2578,0,0.494,0.494,,
2579,0,0.491,0.491,,
2580,0,0.468,0.468,,
2581,0,0.464,0.464,,
2582,0,0.481,0.481,,
2583,1,0.487,-0.513,,
2584,0,0.491,0.491,,
2585,1,0.488,-0.512,,
2586,0,0.464,0.464,,
2587,0,0.496,0.496,,
2588,0,0.492,0.492,,
2589,1,0.48,-0.52,,
2590,0,0.47,0.47,,
2591,0,0.466,0.466,,
2592,1,0.469,-0.531,,
2593,1,0.479,-0.521,,
2594,1,0.485,-0.515,,
2595,1,0.467,-0.533,,
2596,1,0.482,-0.518,,
2597,1,0.474,-0.526,,
2598,1,0.472,-0.528,,
2599,1,0.49,-0.51,,
2600,0,0.474,0.474,,
2601,0,0.466,0.466,,
2602,0,0.469,0.469,,
2603,1,0.472,-0.528,,
2604,1,0.47,-0.53,,
2605,0,0.463,0.463,,
2606,1,0.488,-0.512,,
2607,1,0.471,-0.529,,
2608,1,0.48,-0.52,,
2609,0,0.468,0.468,,
2610,0,0.47,0.47,,
2611,0,0.492,0.492,,
2612,1,0.471,-0.529,,
2613,0,0.496,0.496,,
2614,0,0.495,0.495,,
2615,1,0.477,-0.523,,
2616,0,0.464,0.464,,
2617,0,0.471,0.471,,
2618,0,0.495,0.495,,
2619,0,0.482,0.482,,
2620,1,0.491,-0.509,,
2621,1,0.484,-0.516,,
2622,0,0.466,0.466,,
2623,1,0.486,-0.514,,
2624,0,0.483,0.483,,
2625,0,0.465,0.465,,
2626,1,0.471,-0.529,,
2627,0,0.469,0.469,,
2628,0,0.465,0.465,,
2629,1,0.467,-0.533,,
2630,0,0.477,0.477,,
2631,0,0.467,0.467,,
2632,0,0.496,0.496,,
2633,1,0.48,-0.52,,
2634,1,0.474,-0.526,,
2635,1,0.474,-0.526,,
2636,0,0.468,0.468,,
2637,0,0.487,0.487,,
2638,0,0.489,0.489,,
2639,1,0.48,-0.52,,
2640,0,0.496,0.496,,
2641,1,0.468,-0.532,,
2642,0,0.482,0.482,,
2643,0,0.49,0.49,,
2644,0,0.475,0.475,,
2645,0,0.472,0.472,,
2646,1,0.485,-0.515,,
2647,1,0.472,-0.528,,
2648,0,0.481,0.481,,
2649,1,0.484,-0.516,,
2650,0,0.489,0.489,,
2651,1,0.477,-0.523,,
2652,0,0.487,0.487,,
2653,0,0.479,0.479,,
2654,1,0.467,-0.533,,
2655,0,0.484,0.484,,
2656,0,0.478,0.478,,
2657,1,0.485,-0.515,,
2658,1,0.477,-0.523,,
2659,1,0.473,-0.527,,
2660,1,0.487,-0.513,,
2661,0,0.469,0.469,,
2662,0,0.486,0.486,,
2663,0,0.491,0.491,,
2664,1,0.492,-0.508,,
2665,1,0.486,-0.514,,
2666,1,0.475,-0.525,,
2667,0,0.465,0.465,,
2668,0,0.464,0.464,,
2669,0,0.493,0.493,,
2670,1,0.488,-0.512,,
2671,0,0.496,0.496,,
2672,1,0.48,-0.52,,
2673,0,0.471,0.471,,
2674,0,0.464,0.464,,
2675,0,0.465,0.465,,
2676,0,0.482,0.482,,
2677,0,0.483,0.483,,
2678,1,0.478,-0.522,,
2679,0,0.483,0.483,,
2680,0,0.488,0.488,,
2681,1,0.49,-0.51,,
2682,0,0.466,0.466,,
2683,0,0.463,0.463,,
2684,1,0.479,-0.521,,
2685,0,0.465,0.465,,
2686,0,0.494,0.494,,
2687,0,0.466,0.466,,
2688,1,0.488,-0.512,,
2689,1,0.488,-0.512,,
2690,0,0.466,0.466,,
2691,1,0.479,-0.521,,
2692,1,0.484,-0.516,,
2693,1,0.48,-0.52,,
2694,0,0.492,0.492,,
2695,0,0.47,0.47,,
2696,1,0.479,-0.521,,
2697,0,0.464,0.464,,
2698,0,0.464,0.464,,
2699,1,0.484,-0.516,,
2700,1,0.489,-0.511,,
2701,0,0.477,0.477,,
2702,1,0.485,-0.515,,
2703,0,0.473,0.473,,
2704,0,0.476,0.476,,
2705,1,0.481,-0.519,,
2706,1,0.483,-0.517,,
2707,1,0.476,-0.524,,
2708,0,0.477,0.477,,
2709,0,0.463,0.463,,
2710,1,0.475,-0.525,,
2711,0,0.465,0.465,,
2712,0,0.464,0.464,,
2713,0,0.493,0.493,,
2714,1,0.468,-0.532,,
2715,1,0.475,-0.525,,
2716,0,0.486,0.486,,
2717,1,0.477,-0.523,,
2718,0,0.494,0.494,,
2719,0,0.481,0.481,,
2720,0,0.485,0.485,,
2721,0,0.466,0.466,,
2722,1,0.467,-0.533,,
2723,1,0.477,-0.523,,
2724,0,0.494,0.494,,
2725,1,0.486,-0.514,,
2726,0,0.493,0.493,,
2727,0,0.463,0.463,,
2728,1,0.469,-0.531,,
2729,0,0.494,0.494,,
2730,0,0.467,0.467,,
2731,1,0.477,-0.523,,
2732,1,0.487,-0.513,,
2733,1,0.485,-0.515,,
2734,0,0.473,0.473,,
2735,1,0.482,-0.518,,
2736,1,0.476,-0.524,,
2737,1,0.48,-0.52,,
2738,1,0.477,-0.523,,
2739,1,0.468,-0.532,,
2740,0,0.493,0.493,,
2741,0,0.464,0.464,,
2742,1,0.474,-0.526,,
2743,1,0.484,-0.516,,
2744,0,0.467,0.467,,
2745,0,0.489,0.489,,
2746,0,0.49,0.49,,
2747,1,0.48,-0.52,,
2748,0,0.463,0.463,,
2749,0,0.465,0.465,,
2750,0,0.468,0.468,,
2751,1,0.484,-0.516,,
2752,1,0.473,-0.527,,
2753,1,0.476,-0.524,,
2754,0,0.472,0.472,,
2755,0,0.496,0.496,,
2756,1,0.483,-0.517,,
2757,0,0.471,0.471,,
2758,0,0.496,0.496,,
2759,1,0.486,-0.514,,
2760,1,0.469,-0.531,,
2761,0,0.492,0.492,,
2762,0,0.496,0.496,,
2763,0,0.493,0.493,,
2764,0,0.473,0.473,,
2765,1,0.474,-0.526,,
2766,0,0.494,0.494,,
2767,0,0.473,0.473,,
2768,0,0.489,0.489,,
2769,1,0.479,-0.521,,
2770,0,0.463,0.463,,
2771,0,0.464,0.464,,
2772,0,0.469,0.469,,
2773,1,0.492,-0.508,,
2774,0,0.493,0.493,,
2775,0,0.478,0.478,,
2776,0,0.496,0.496,,
2777,0,0.494,0.494,,
2778,0,0.472,0.472,,
2779,0,0.496,0.496,,
2780,1,0.474,-0.526,,
2781,0,0.489,0.489,,
2782,0,0.464,0.464,,
2783,0,0.466,0.466,,
2784,0,0.476,0.476,,
2785,1,0.484,-0.516,,
2786,0,0.492,0.492,,
2787,0,0.488,0.488,,
2788,1,0.478,-0.522,,
2789,1,0.484,-0.516,,
2790,1,0.476,-0.524,,
2791,1,0.472,-0.528,,
2792,1,0.471,-0.529,,
2793,1,0.479,-0.521,,
2794,0,0.484,0.484,,
2795,0,0.494,0.494,,
2796,1,0.472,-0.528,,
2797,1,0.467,-0.533,,
2798,1,0.468,-0.532,,
2799,1,0.47,-0.53,,
2800,1,0.472,-0.528,,
2801,1,0.491,-0.509,,
2802,0,0.493,0.493,,
2803,0,0.466,0.466,,
2804,0,0.473,0.473,,
2805,0,0.478,0.478,,
2806,0,0.491,0.491,,
2807,0,0.481,0.481,,
2808,0,0.467,0.467,,
2809,0,0.492,0.492,,
2810,0,0.492,0.492,,
2811,1,0.47,-0.53,,
2812,0,0.471,0.471,,
2813,0,0.465,0.465,,
2814,1,0.49,-0.51,,
2815,1,0.474,-0.526,,
2816,0,0.493,0.493,,
2817,1,0.47,-0.53,,
2818,0,0.478,0.478,,
2819,1,0.488,-0.512,,
2820,1,0.475,-0.525,,
2821,0,0.473,0.473,,
2822,0,0.475,0.475,,
2823,0,0.488,0.488,,
2824,0,0.496,0.496,,
2825,0,0.47,0.47,,
2826,1,0.474,-0.526,,
2827,1,0.47,-0.53,,
2828,0,0.483,0.483,,
2829,0,0.465,0.465,,
2830,0,0.496,0.496,,
2831,1,0.49,-0.51,,
2832,0,0.464,0.464,,
2833,0,0.463,0.463,,
2834,0,0.496,0.496,,
2835,0,0.489,0.489,,
2836,1,0.473,-0.527,,
2837,0,0.471,0.471,,
2838,1,0.489,-0.511,,
2839,0,0.467,0.467,,
2840,0,0.465,0.465,,
2841,1,0.487,-0.513,,
2842,0,0.488,0.488,,
2843,1,0.477,-0.523,,
2844,0,0.468,0.468,,
2845,1,0.475,-0.525,,
2846,0,0.489,0.489,,
2847,0,0.47,0.47,,
2848,0,0.48,0.48,,
2849,1,0.47,-0.53,,
2850,1,0.489,-0.511,,
2851,0,0.466,0.466,,
2852,0,0.463,0.463,,
2853,1,0.469,-0.531,,
2854,0,0.492,0.492,,
2855,0,0.491,0.491,,
2856,1,0.468,-0.532,,
2857,0,0.492,0.492,,
2858,1,0.476,-0.524,,
2859,0,0.464,0.464,,
2860,0,0.496,0.496,,
2861,0,0.465,0.465,,
2862,1,0.474,-0.526,,
2863,0,0.463,0.463,,
2864,1,0.48,-0.52,,
2865,1,0.47,-0.53,,
2866,1,0.471,-0.529,,
2867,1,0.482,-0.518,,
2868,0,0.489,0.489,,
2869,0,0.463,0.463,,
2870,0,0.465,0.465,,
2871,0,0.479,0.479,,
2872,0,0.471,0.471,,
2873,1,0.473,-0.527,,
2874,1,0.48,-0.52,,
2875,0,0.488,0.488,,
2876,1,0.482,-0.518,,
2877,1,0.478,-0.522,,
2878,0,0.49,0.49,,
2879,1,0.492,-0.508,,
2880,1,0.483,-0.517,,
2881,0,0.485,0.485,,
2882,1,0.47,-0.53,,
2883,1,0.468,-0.532,,
2884,0,0.478,0.478,,
2885,0,0.475,0.475,,
2886,1,0.483,-0.517,,
2887,1,0.489,-0.511,,
2888,0,0.483,0.483,,
2889,1,0.484,-0.516,,
2890,1,0.473,-0.527,,
2891,1,0.473,-0.527,,
2892,1,0.485,-0.515,,
2893,0,0.485,0.485,,
2894,1,0.475,-0.525,,
2895,0,0.465,0.465,,
2896,0,0.48,0.48,,
2897,0,0.464,0.464,,
2898,1,0.49,-0.51,,
2899,1,0.489,-0.511,,
2900,0,0.478,0.478,,
2901,0,0.482,0.482,,
2902,0,0.466,0.466,,
2903,1,0.49,-0.51,,
2904,1,0.478,-0.522,,
2905,0,0.495,0.495,,
2906,0,0.469,0.469,,
2907,0,0.491,0.491,,
2908,0,0.475,0.475,,
2909,1,0.476,-0.524,,
2910,1,0.472,-0.528,,
2911,1,0.473,-0.527,,
2912,1,0.471,-0.529,,
2913,0,0.464,0.464,,
2914,1,0.483,-0.517,,
2915,0,0.465,0.465,,
2916,0,0.471,0.471,,
2917,1,0.469,-0.531,,
2918,1,0.467,-0.533,,
2919,0,0.492,0.492,,
2920,0,0.464,0.464,,
2921,1,0.467,-0.533,,
2922,0,0.494,0.494,,
2923,0,0.473,0.473,,
2924,1,0.47,-0.53,,
2925,0,0.483,0.483,,
2926,1,0.469,-0.531,,
2927,1,0.482,-0.518,,
2928,0,0.485,0.485,,
2929,0,0.475,0.475,,
2930,0,0.463,0.463,,
2931,1,0.48,-0.52,,
2932,0,0.482,0.482,,
2933,1,0.484,-0.516,,
2934,0,0.466,0.466,,
2935,1,0.476,-0.524,,
2936,1,0.472,-0.528,,
2937,1,0.483,-0.517,,
2938,1,0.481,-0.519,,
2939,1,0.474,-0.526,,
2940,0,0.48,0.48,,
2941,1,0.474,-0.526,,
2942,1,0.482,-0.518,,
2943,0,0.495,0.495,,
2944,0,0.465,0.465,,
2945,0,0.496,0.496,,
2946,0,0.464,0.464,,
2947,1,0.487,-0.513,,
2948,0,0.469,0.469,,
2949,1,0.485,-0.515,,
2950,1,0.474,-0.526,,
2951,0,0.486,0.486,,
2952,0,0.48,0.48,,
2953,1,0.489,-0.511,,
2954,0,0.473,0.473,,
2955,0,0.481,0.481,,
2956,0,0.491,0.491,,
2957,1,0.473,-0.527,,
2958,1,0.48,-0.52,,
2959,1,0.475,-0.525,,
2960,0,0.476,0.476,,
2961,0,0.485,0.485,,
2962,1,0.473,-0.527,,
2963,1,0.472,-0.528,,
2964,1,0.485,-0.515,,
2965,1,0.475,-0.525,,
2966,0,0.469,0.469,,
2967,1,0.479,-0.521,,
2968,0,0.479,0.479,,
2969,0,0.465,0.465,,
2970,1,0.473,-0.527,,
2971,1,0.476,-0.524,,
2972,0,0.496,0.496,,
2973,0,0.491,0.491,,
2974,1,0.486,-0.514,,
2975,1,0.481,-0.519,,
2976,1,0.491,-0.509,,
2977,0,0.481,0.481,,
2978,0,0.491,0.491,,
2979,0,0.48,0.48,,
2980,0,0.479,0.479,,
2981,1,0.467,-0.533,,
2982,0,0.492,0.492,,
2983,1,0.487,-0.513,,
2984,0,0.466,0.466,,
2985,0,0.468,0.468,,
2986,0,0.488,0.488,,
2987,1,0.477,-0.523,,
2988,1,0.479,-0.521,,
2989,0,0.48,0.48,,
2990,1,0.492,-0.508,,
2991,0,0.496,0.496,,
2992,1,0.481,-0.519,,
2993,1,0.469,-0.531,,
2994,0,0.467,0.467,,
2995,1,0.485,-0.515,,
2996,1,0.471,-0.529,,
2997,0,0.48,0.48,,
2998,0,0.465,0.465,,
2999,1,0.479,-0.521,,
3000,1,0.472,-0.528,,
3001,1,0.466,-0.534,,
3002,1,0.475,-0.525,,
3003,0,0.465,0.465,,
3004,1,0.485,-0.515,,
3005,0,0.464,0.464,,
3006,1,0.477,-0.523,,
3007,0,0.481,0.481,,
3008,1,0.477,-0.523,,
3009,1,0.487,-0.513,,
3010,1,0.467,-0.533,,
3011,0,0.464,0.464,,
3012,0,0.468,0.468,,
3013,1,0.473,-0.527,,
3014,0,0.479,0.479,,
3015,0,0.478,0.478,,
3016,0,0.482,0.482,,
3017,0,0.469,0.469,,
3018,1,0.475,-0.525,,
3019,0,0.494,0.494,,
3020,1,0.488,-0.512,,
3021,1,0.477,-0.523,,
3022,0,0.465,0.465,,
3023,0,0.49,0.49,,
3024,0,0.466,0.466,,
3025,1,0.478,-0.522,,
3026,1,0.479,-0.521,,
3027,0,0.482,0.482,,
3028,0,0.495,0.495,,
3029,1,0.483,-0.517,,
3030,1,0.492,-0.508,,
3031,0,0.496,0.496,,
3032,0,0.491,0.491,,
3033,1,0.486,-0.514,,
3034,0,0.489,0.489,,
3035,0,0.465,0.465,,
3036,1,0.474,-0.526,,
3037,0,0.484,0.484,,
3038,0,0.479,0.479,,
3039,0,0.465,0.465,,
3040,1,0.478,-0.522,,
3041,0,0.464,0.464,,
3042,0,0.465,0.465,,
3043,0,0.486,0.486,,
3044,1,0.471,-0.529,,
3045,0,0.465,0.465,,
3046,1,0.483,-0.517,,
3047,0,0.491,0.491,,
3048,1,0.48,-0.52,,
3049,1,0.471,-0.529,,
3050,0,0.465,0.465,,
3051,0,0.482,0.482,,
3052,1,0.488,-0.512,,
3053,0,0.464,0.464,,
3054,0,0.493,0.493,,
3055,0,0.471,0.471,,
3056,1,0.479,-0.521,,
3057,0,0.492,0.492,,
3058,0,0.464,0.464,,
3059,0,0.495,0.495,,
3060,1,0.473,-0.527,,
3061,0,0.473,0.473,,
3062,0,0.463,0.463,,
3063,1,0.486,-0.514,,
3064,0,0.472,0.472,,
3065,0,0.479,0.479,,
3066,0,0.482,0.482,,
3067,1,0.472,-0.528,,
3068,0,0.48,0.48,,
3069,1,0.474,-0.526,,
3070,1,0.489,-0.511,,
3071,0,0.492,0.492,,
3072,0,0.466,0.466,,
3073,0,0.492,0.492,,
3074,0,0.464,0.464,,
3075,0,0.491,0.491,,
3076,1,0.48,-0.52,,
3077,0,0.495,0.495,,
3078,1,0.483,-0.517,,
3079,0,0.47,0.47,,
3080,1,0.484,-0.516,,
3081,0,0.495,0.495,,
3082,0,0.494,0.494,,
3083,1,0.479,-0.521,,
3084,1,0.477,-0.523,,
3085,1,0.474,-0.526,,
3086,1,0.488,-0.512,,
3087,1,0.469,-0.531,,
3088,1,0.483,-0.517,,
3089,0,0.496,0.496,,
3090,0,0.492,0.492,,
3091,0,0.481,0.481,,
3092,0,0.48,0.48,,
3093,0,0.466,0.466,,
3094,1,0.475,-0.525,,
3095,0,0.465,0.465,,
3096,1,0.476,-0.524,,
3097,1,0.49,-0.51,,
3098,0,0.48,0.48,,
3099,0,0.464,0.464,,
3100,1,0.473,-0.527,,
3101,0,0.489,0.489,,
3102,1,0.488,-0.512,,
3103,1,0.47,-0.53,,
3104,1,0.48,-0.52,,
3105,1,0.488,-0.512,,
3106,1,0.484,-0.516,,
3107,0,0.489,0.489,,
3108,0,0.465,0.465,,
3109,1,0.483,-0.517,,
3110,1,0.477,-0.523,,
3111,1,0.477,-0.523,,
3112,0,0.492,0.492,,
3113,1,0.492,-0.508,,
3114,1,0.484,-0.516,,
3115,1,0.471,-0.529,,
3116,1,0.492,-0.508,,
3117,1,0.472,-0.528,,
3118,0,0.491,0.491,,
3119,1,0.476,-0.524,,
3120,1,0.488,-0.512,,
3121,1,0.476,-0.524,,
3122,0,0.467,0.467,,
3123,1,0.472,-0.528,,
3124,0,0.465,0.465,,
3125,0,0.464,0.464,,
3126,0,0.483,0.483,,
3127,0,0.469,0.469,,
3128,0,0.495,0.495,,
3129,1,0.483,-0.517,,
3130,1,0.473,-0.527,,
3131,0,0.476,0.476,,
3132,0,0.492,0.492,,
3133,1,0.483,-0.517,,
